17. 7.	Arleta, Iris, Martina
18. 7.	Drahomila, Drahomíra, Drahomír, Milota, Drahomil, Drahotína, Milutín
19. 7.	Čeněk, Čeňka
20. 7.	Elias, Ilja, Iljana, Eliana, Eliáš
21. 7.	Vítězslav, Vítoslav, Vítězslava, Vítězslav
22. 7.	Magdalena, Magda, Marlena, Magdaléna, Rozvita
23. 7.	Libor, Liboslav, Luboslav, Libora, Liboslava
24. 7.	Gleb, Kristina, Kristyna, Tina, Křišťan, Kristýna
25. 7.	Jakub, Timur, Jakuba, Jakubka, Žakelina
26. 7.	Anika, Anita, Anna-Marie, Nancy, Anna, Naneta
27. 7.	Aurelio, Aurelius, Berthold, Bertold, Gorazd, Věroslav
28. 7.	Alina, Inocenc, Viktorie
29. 7.	Beatrice, Marta, Olaf, Robina, Serafína
30. 7.	Bořivoj, Vojen
31. 7.	Ignác, Ignát
1. 8.	Oskar, Ludomíra, Medea, Ludomír
2. 8.	Gustava, Gustav, Elfríd
3. 8.	Miluše, Nikodém, Jerguš
4. 8.	Dominika, Dominik, Rainer, Neda
5. 8.	Kristian, Osvald, Kristán, Milivoj
6. 8.	Oldřiška, Ulrika, Něhoslav
7. 8.	Kajetán, Lada, Donáta, Iboja
8. 8.	Soběslav, Soběslava, Virginie
9. 8.	Roman, Romeo, Ratibor, Ratislav
10. 8.	Vavřinec, Lars, Laurenc, Lorenc
11. 8.	Zuzana, Filoména
12. 8.	Jasna, Klara, Klára, Jasoň
13. 8.	Alena, Belinda, Sven
14. 8.	Alan, Alen, Eusebius, Smil
15. 8.	Hana, Mirela
16. 8.	Abrahám, Jáchym, Roch, Abraham
17. 8.	Petra, Petronela, Záviš, Hyacinta, Petula
18. 8.	Ela, Ella, Helena, Jelena, Ena
19. 8.	Ludvika, Ludvik, Luisa, Lujza, Ludvík, Ludvíka
20. 8.	Bernarda, Bernardeta, Bernardina, Bernard, Dino
21. 8.	Johana, Noemi
22. 8.	Bohuslav, Božislav, Bohun, Tichomír
23. 8.	Sandra, Tekla, Polyxena
24. 8.	Bartolomej, Natanael, Bartoloměj
25. 8.	Radim, Elvíra, Radima
26. 8.	Ludiše, Luděk, Luďka
27. 8.	Otakara, Otakar, César
28. 8.	Augusta, Augustina, Augustin, August, Augustýn, Augustýna, Pelagie
29. 8.	Evelina, Miron, Myron, Evelína
30. 8.	Kim, Vladěna, Kimberley
31. 8.	Bela, Pavlina, Ramona, Pavlína, Aris
1. 9.	Jiljí, Linda, Samuel, Egona, Rosalinda, Rozalinda, Sámo, Samuela, Sixtur
2. 9.	Adela, Adéla, Adelína
3. 9.	Branimíř, Branislav, Bronislava, Bronislav, Branislava
4. 9.	Jindra, Jindřiška, Rozalie, Muriel, Rozálie
5. 9.	Bojan, Borislav, Bojana
6. 9.	Boleslava, Boleslav, Grant, Magnus
7. 9.	Gina, Regina, Rea, Regína
8. 9.	Mariana, Mariola, Marion, Mirjam
9. 9.	Daniela, Gordana, Neklan, Omar
10. 9.	Irma, Irmgarda, Krasomila, Krasava
11. 9.	Denisa, Denis, Dionýz, Diviš, Diviška, Bystrik
12. 9.	Maja, Marita, Máša, Riana, Ria, Tobias, Manon, Marie, Marilyn, Marisa, Pilar
13. 9.	Lubor, Melinda
14. 9.	Radka, Radoslava
15. 9.	Dolores, Jolana, Jolanta
16. 9.	Kornelie, Kornel, Lidmila, Ludmila, Kornelius, Kornélie, Lolita
17. 9.	Hildegarda, Lambert, Nadežda, Naďa, Naděžda, Paloma
18. 9.	Ariana, Kryštof
19. 9.	Konstantin, Zita, Konstance, Konstancie
20. 9.	Helmut, Oleg, Eustach
21. 9.	Debora, Matouš, Ruben
22. 9.	Darina, Garika, Moris, Mořic
23. 9.	Berta, Lina
24. 9.	Jaromíra, Jaromír, Mercedes, Griselda, Terenc
25. 9.	Aurelie, Zlatan, Zlatuše, Aura, Zlatomíra
26. 9.	Andrea, Andriana, Justina
27. 9.	Jonas, Kosma, Kosmas, Damián, Jonáš
28. 9.	Brian, Václava, Václav
29. 9.	Michael, Michal, Rafael, Rafaela
30. 9.	Jeroným, Rachel, Jarolíma, Una, Ráchel
1. 10.	Igor, Ivar, Ivor
2. 10.	Oliver, Olivie, Olympie
3. 10.	Amadeus, Bohumil, Bohuš
4. 10.	Edvin, Evald, František
5. 10.	Eliška, Elza, Dalie
6. 10.	Hanuš, Hanuše
7. 10.	Abdon, Justin, Justyna, Sergej, Justýna
8. 10.	Věra, Věroslava, Vera, Taisa
9. 10.	Sara, Stefan, Gunter, Sára, Štefan, Zara
10. 10.	Bivoj, Marina, Marin, Záboj
11. 10.	Andreas, Andrej, André
12. 10.	Marcela, Edvín, Serafín
13. 10.	Gerald, Koloman, Renata, Geralda, Geraldina, Renáta
14. 10.	Agata, Háta, Agáta, Krasoslav
15. 10.	Tereza, Terezie, Aurélie
16. 10.	Galina, Havel
17. 10.	Heda, Hedvika, Despian
18. 10.	Lukas, Lukáš, Donovan
19. 10.	Joel, Michaela, Michala
20. 10.	Eunika, Vendelín, Vendelína, Kleopatra
21. 10.	Birgit, Brigita, Voršila, Berit, Birgita, Bret, Brit, Brita, Uršula
22. 10.	Sabina, Sabrina, Kora, Korian, Kordula
23. 10.	Fedor, Tea, Teodor, Thea, Theodora, Fedora, Teo
24. 10.	Narcisa, Narcis, Nina
25. 10.	Beata, Daria, Vojmír, Živan, Zosim, Živana, Beáta, Kryšpín
26. 10.	Erich, Erik
27. 10.	Lota, Zoe, Zoja, Šarlota, Živa
28. 10.	Juda, Alfréda, Alfréd
29. 10.	Silvie, Sylva, Sylvie, Silván
30. 10.	Arsen, Demeter, Dimitrij, Tadeáš, Arzen, Hvězdoslav
31. 10.	Štěpánka
1. 11.	Felix, Felicie, Felície
2. 11.	Jessica, Achiles, Tobiáš
3. 11.	Hubert, Teofil
4. 11.	Karel, Karla, Skarlet, Skarleta
5. 11.	Emerich, Imrich, Miriam, Vědunka, Zachar, Zachariáš
6. 11.	Leonard, Liběna
7. 11.	Engelbert, Saskies
8. 11.	Bohumír, Bohumíra, Božidara, Bohumír
9. 11.	Bohdana, Božidar, Darek
10. 11.	Evžen, Orest, Lionel, Tiber, Noe
11. 11.	Martin, Davor
12. 11.	Astrida, Astrid, Benedikt, Beno, Benedikta, Vitold
13. 11.	Brenda, Tibor
14. 11.	Mladen, Sáva
15. 11.	Leopolda, Leopoldina, Leopold
16. 11.	Otmar, Otomar, Daisy
17. 11.	Edeltruda, Gertruda, Mahulena
18. 11.	Odon, Romana
19. 11.	Alžběta, Běta, Elsa, Ilsa, Ilza, Alžbeta
20. 11.	Nikola, Nikol, Koleta, Oktavie
21. 11.	Aldabert, Alberta, Albertina, Albert, Albrecht, Elvira, Adalberta, Albertýna, Aldo
22. 11.	Cecilie, Cecil, Cindy, Celie, Homér, Cecílie
23. 11.	Klementina, Klement, Alana, Lukrécie
24. 11.	Emilie, Emma, Lothar, Emílie
25. 11.	Karin, Katerina, Katrin, Katrina, Rina, Kateřina
26. 11.	Aram, Artur, Artuš, Jonathan, Konrad, Kurt, Konrád
27. 11.	Oxana, Xenie, Virgil
28. 11.	Rene, Renát, René, Tristan
29. 11.	Zina, Zajda, Zinajda
30. 11.	Ondrej, Ondřejka, Ondřej
1. 12.	Edmund, Iva, Edmond
2. 12.	Bibiana, Blanka, Viviana, Vivien
3. 12.	Svatomír, Svatoslava, Xaver
4. 12.	Babeta, Barbara, Barbora
5. 12.	Abigal, Jitka, Liana
6. 12.	Mikuláš, Nikita, Nikolas, Nikodéma
7. 12.	Ambrož, Benjamin, Benjamín
8. 12.	Kvetoslava, Květomila, Květoslava
9. 12.	Dalila, Vratislava, Vratislav
10. 12.	Juliana, Julie, Juliána
11. 12.	Dana, Danuše
12. 12.	Simona, Šimona
13. 12.	Lucie, Lucián, Elektra, Lucius, Luciána
14. 12.	Livie, Lydie, Liv, Lýdie
15. 12.	Radana, Radan, Zderad, Zdirad
16. 12.	Adelaida, Albina, Albín, Albína
17. 12.	Dan, Daniel, Lazar, Chantal
18. 12.	Milorad, Miloslav, Graciána, Gracie
19. 12.	Darius, Ester, Mstislav
20. 12.	Dagmar, Dag, Dáša
21. 12.	Natalie, Natálie, Rodan
22. 12.	Simeon, Simon, Šimon
23. 12.	Nika, Niké, Vlasta
24. 12.	Adam, Eva, Evan
25. 12.	—
26. 12.	Stepan, Štěpán
27. 12.	Jeanette, Žaneta, Melánie
28. 12.	Bohumila, Donika
29. 12.	Judita, Juta, Natan, Nathan, Nathanael
30. 12.	David, Davida, Donát
31. 12.	Horst, Silvestra, Silvestr, Forest
